kode_kabupaten_kota,kode_provinsi,nama_kabupaten_kota,nama_provinsi,jumlah_penduduk_miskin,satuan,tahun
3201,32,KABUPATEN BOGOR,JAWA BARAT,395000,RIBU JIWA,2019
3202,32,KABUPATEN SUKABUMI,JAWA BARAT,153300,RIBU JIWA,2019
3203,32,KABUPATEN CIANJUR,JAWA BARAT,207100,RIBU JIWA,2019
3204,32,KABUPATEN BANDUNG,JAWA BARAT,223200,RIBU JIWA,2019
3205,32,KABUPATEN GARUT,JAWA BARAT,235200,RIBU JIWA,2019
3206,32,KABUPATEN TASIKMALAYA,JAWA BARAT,159900,RIBU JIWA,2019
3207,32,KABUPATEN CIAMIS,JAWA BARAT,79400,RIBU JIWA,2019
3208,32,KABUPATEN KUNINGAN,JAWA BARAT,123200,RIBU JIWA,2019
3209,32,KABUPATEN CIREBON,JAWA BARAT,217600,RIBU JIWA,2019
3210,32,KABUPATEN MAJALENGKA,JAWA BARAT,121100,RIBU JIWA,2019
3211,32,KABUPATEN SUMEDANG,JAWA BARAT,104200,RIBU JIWA,2019
3212,32,KABUPATEN INDRAMAYU,JAWA BARAT,191900,RIBU JIWA,2019
3213,32,KABUPATEN SUBANG,JAWA BARAT,129200,RIBU JIWA,2019
3214,32,KABUPATEN PURWAKARTA,JAWA BARAT,71900,RIBU JIWA,2019
3215,32,KABUPATEN KARAWANG,JAWA BARAT,173700,RIBU JIWA,2019
3216,32,KABUPATEN BEKASI,JAWA BARAT,149400,RIBU JIWA,2019
3217,32,KABUPATEN BANDUNG BARAT,JAWA BARAT,159000,RIBU JIWA,2019
3218,32,KABUPATEN PANGANDARAN,JAWA BARAT,30700,RIBU JIWA,2019
3271,32,KOTA BOGOR,JAWA BARAT,64000,RIBU JIWA,2019
3272,32,KOTA SUKABUMI,JAWA BARAT,21900,RIBU JIWA,2019
3273,32,KOTA BANDUNG,JAWA BARAT,84700,RIBU JIWA,2019
3274,32,KOTA CIREBON,JAWA BARAT,26800,RIBU JIWA,2019
3275,32,KOTA BEKASI,JAWA BARAT,113700,RIBU JIWA,2019
3276,32,KOTA DEPOK,JAWA BARAT,49400,RIBU JIWA,2019
3277,32,KOTA CIMAHI,JAWA BARAT,26900,RIBU JIWA,2019
3278,32,KOTA TASIKMALAYA,JAWA BARAT,77000,RIBU JIWA,2019
3279,32,KOTA BANJAR,JAWA BARAT,10100,RIBU JIWA,2019
3201,32,KABUPATEN BOGOR,JAWA BARAT,465700,RIBU JIWA,2020
3202,32,KABUPATEN SUKABUMI,JAWA BARAT,175100,RIBU JIWA,2020
3203,32,KABUPATEN CIANJUR,JAWA BARAT,234500,RIBU JIWA,2020
3204,32,KABUPATEN BANDUNG,JAWA BARAT,263600,RIBU JIWA,2020
3205,32,KABUPATEN GARUT,JAWA BARAT,262800,RIBU JIWA,2020
3206,32,KABUPATEN TASIKMALAYA,JAWA BARAT,181500,RIBU JIWA,2020
3207,32,KABUPATEN CIAMIS,JAWA BARAT,91400,RIBU JIWA,2020
3208,32,KABUPATEN KUNINGAN,JAWA BARAT,139200,RIBU JIWA,2020
3209,32,KABUPATEN CIREBON,JAWA BARAT,247900,RIBU JIWA,2020
3210,32,KABUPATEN MAJALENGKA,JAWA BARAT,138200,RIBU JIWA,2020
3211,32,KABUPATEN SUMEDANG,JAWA BARAT,118400,RIBU JIWA,2020
3212,32,KABUPATEN INDRAMAYU,JAWA BARAT,220300,RIBU JIWA,2020
3213,32,KABUPATEN SUBANG,JAWA BARAT,149800,RIBU JIWA,2020
3214,32,KABUPATEN PURWAKARTA,JAWA BARAT,80200,RIBU JIWA,2020
3215,32,KABUPATEN KARAWANG,JAWA BARAT,195400,RIBU JIWA,2020
3216,32,KABUPATEN BEKASI,JAWA BARAT,186300,RIBU JIWA,2020
3217,32,KABUPATEN BANDUNG BARAT,JAWA BARAT,179500,RIBU JIWA,2020
3218,32,KABUPATEN PANGANDARAN,JAWA BARAT,36100,RIBU JIWA,2020
3271,32,KOTA BOGOR,JAWA BARAT,75000,RIBU JIWA,2020
3272,32,KOTA SUKABUMI,JAWA BARAT,25400,RIBU JIWA,2020
3273,32,KOTA BANDUNG,JAWA BARAT,100000,RIBU JIWA,2020
3274,32,KOTA CIREBON,JAWA BARAT,30600,RIBU JIWA,2020
3275,32,KOTA BEKASI,JAWA BARAT,134000,RIBU JIWA,2020
3276,32,KOTA DEPOK,JAWA BARAT,60400,RIBU JIWA,2020
3277,32,KOTA CIMAHI,JAWA BARAT,31600,RIBU JIWA,2020
3278,32,KOTA TASIKMALAYA,JAWA BARAT,86100,RIBU JIWA,2020
3279,32,KOTA BANJAR,JAWA BARAT,11200,RIBU JIWA,2020
3201,32,KABUPATEN BOGOR,JAWA BARAT,491200,RIBU JIWA,2021
3202,32,KABUPATEN SUKABUMI,JAWA BARAT,194400,RIBU JIWA,2021
3203,32,KABUPATEN CIANJUR,JAWA BARAT,260000,RIBU JIWA,2021
3204,32,KABUPATEN BANDUNG,JAWA BARAT,269200,RIBU JIWA,2021
3205,32,KABUPATEN GARUT,JAWA BARAT,281400,RIBU JIWA,2021
3206,32,KABUPATEN TASIKMALAYA,JAWA BARAT,200600,RIBU JIWA,2021
3207,32,KABUPATEN CIAMIS,JAWA BARAT,96600,RIBU JIWA,2021
3208,32,KABUPATEN KUNINGAN,JAWA BARAT,143400,RIBU JIWA,2021
3209,32,KABUPATEN CIREBON,JAWA BARAT,271000,RIBU JIWA,2021
3210,32,KABUPATEN MAJALENGKA,JAWA BARAT,151100,RIBU JIWA,2021
3211,32,KABUPATEN SUMEDANG,JAWA BARAT,126300,RIBU JIWA,2021
3212,32,KABUPATEN INDRAMAYU,JAWA BARAT,228600,RIBU JIWA,2021
3213,32,KABUPATEN SUBANG,JAWA BARAT,159000,RIBU JIWA,2021
3214,32,KABUPATEN PURWAKARTA,JAWA BARAT,84300,RIBU JIWA,2021
3215,32,KABUPATEN KARAWANG,JAWA BARAT,210800,RIBU JIWA,2021
3216,32,KABUPATEN BEKASI,JAWA BARAT,202700,RIBU JIWA,2021
3217,32,KABUPATEN BANDUNG BARAT,JAWA BARAT,190800,RIBU JIWA,2021
3218,32,KABUPATEN PANGANDARAN,JAWA BARAT,39100,RIBU JIWA,2021
3271,32,KOTA BOGOR,JAWA BARAT,80100,RIBU JIWA,2021
3272,32,KOTA SUKABUMI,JAWA BARAT,27200,RIBU JIWA,2021
3273,32,KOTA BANDUNG,JAWA BARAT,112500,RIBU JIWA,2021
3274,32,KOTA CIREBON,JAWA BARAT,32000,RIBU JIWA,2021
3275,32,KOTA BEKASI,JAWA BARAT,144100,RIBU JIWA,2021
3276,32,KOTA DEPOK,JAWA BARAT,63900,RIBU JIWA,2021
3277,32,KOTA CIMAHI,JAWA BARAT,32500,RIBU JIWA,2021
3278,32,KOTA TASIKMALAYA,JAWA BARAT,89500,RIBU JIWA,2021
3279,32,KOTA BANJAR,JAWA BARAT,13400,RIBU JIWA,2021
3201,32,KABUPATEN BOGOR,JAWA BARAT,474700,RIBU JIWA,2022
3202,32,KABUPATEN SUKABUMI,JAWA BARAT,186300,RIBU JIWA,2022
3203,32,KABUPATEN CIANJUR,JAWA BARAT,246800,RIBU JIWA,2022
3204,32,KABUPATEN BANDUNG,JAWA BARAT,258600,RIBU JIWA,2022
3205,32,KABUPATEN GARUT,JAWA BARAT,276700,RIBU JIWA,2022
3206,32,KABUPATEN TASIKMALAYA,JAWA BARAT,194100,RIBU JIWA,2022
3207,32,KABUPATEN CIAMIS,JAWA BARAT,94000,RIBU JIWA,2022
3208,32,KABUPATEN KUNINGAN,JAWA BARAT,140300,RIBU JIWA,2022
3209,32,KABUPATEN CIREBON,JAWA BARAT,266100,RIBU JIWA,2022
3210,32,KABUPATEN MAJALENGKA,JAWA BARAT,147100,RIBU JIWA,2022
3211,32,KABUPATEN SUMEDANG,JAWA BARAT,120100,RIBU JIWA,2022
3212,32,KABUPATEN INDRAMAYU,JAWA BARAT,225000,RIBU JIWA,2022
3213,32,KABUPATEN SUBANG,JAWA BARAT,155300,RIBU JIWA,2022
3214,32,KABUPATEN PURWAKARTA,JAWA BARAT,83400,RIBU JIWA,2022
3215,32,KABUPATEN KARAWANG,JAWA BARAT,199900,RIBU JIWA,2022
3216,32,KABUPATEN BEKASI,JAWA BARAT,201100,RIBU JIWA,2022
3217,32,KABUPATEN BANDUNG BARAT,JAWA BARAT,183700,RIBU JIWA,2022
3218,32,KABUPATEN PANGANDARAN,JAWA BARAT,37900,RIBU JIWA,2022
3271,32,KOTA BOGOR,JAWA BARAT,79200,RIBU JIWA,2022
3272,32,KOTA SUKABUMI,JAWA BARAT,26600,RIBU JIWA,2022
3273,32,KOTA BANDUNG,JAWA BARAT,109800,RIBU JIWA,2022
3274,32,KOTA CIREBON,JAWA BARAT,31500,RIBU JIWA,2022
3275,32,KOTA BEKASI,JAWA BARAT,137400,RIBU JIWA,2022
3276,32,KOTA DEPOK,JAWA BARAT,64400,RIBU JIWA,2022
3277,32,KOTA CIMAHI,JAWA BARAT,31200,RIBU JIWA,2022
3278,32,KOTA TASIKMALAYA,JAWA BARAT,87100,RIBU JIWA,2022
3279,32,KOTA BANJAR,JAWA BARAT,12700,RIBU JIWA,2022
